FileName	Description	Source	Category	SubCategory	Notes	Library	Keywords	Manufacturer	Designer	BWDescription	BWOriginator	BWOriginatorRef
"IBIS Hadeda, Call, Pair 01.wav"	"HADEDA IBIS CALL Mating pair, social call. Late afternoon. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call, Pair 01"	BOOM Library		"HADEDA IBIS CALL Mating pair, social call. Late afternoon. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"IBIS Hadeda, Call, Pair 02.wav"	"HADEDA IBIS CALL Mating pair, social call. Late afternoon. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call, Pair 02"	BOOM Library		"HADEDA IBIS CALL Mating pair, social call. Late afternoon. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"IBIS Hadeda, Call, Pair 03.wav"	"HADEDA IBIS CALL Mating pair, social call. Late afternoon. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"IBIS Hadeda, Call, Pair 03"	BOOM Library		"HADEDA IBIS CALL Mating pair, social call. Late afternoon. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Call 01.wav"	"YELLOW-BILLED KITE CALL Normal, high pitch social call. Whistle sound followed by vibrato.  "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Call 01"	BOOM Library		"YELLOW-BILLED KITE CALL Normal, high pitch social call. Whistle sound followed by vibrato.  "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Call 02.wav"	"YELLOW-BILLED KITE CALL Long, high pitch social call. Whistle sound followed by vibrato.  "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Call 02"	BOOM Library		"YELLOW-BILLED KITE CALL Long, high pitch social call. Whistle sound followed by vibrato.  "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp 01.wav"	"YELLOW-BILLED KITE CHIRP Short, high, rhythmic chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp 01"	BOOM Library		"YELLOW-BILLED KITE CHIRP Short, high, rhythmic chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp 02.wav"	"YELLOW-BILLED KITE CHIRP Normal, high, rhythmic chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp 02"	BOOM Library		"YELLOW-BILLED KITE CHIRP Normal, high, rhythmic chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp 03.wav"	"YELLOW-BILLED KITE CHIRP Short, high, glissando with vibrato."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp 03"	BOOM Library		"YELLOW-BILLED KITE CHIRP Short, high, glissando with vibrato."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp, Distressed 01.wav"	"YELLOW-BILLED KITE CHIRP Short, high, glissando with vibrato. Building distress."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp, Distressed 01"	BOOM Library		"YELLOW-BILLED KITE CHIRP Short, high, glissando with vibrato. Building distress."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp, Distressed 02.wav"	"YELLOW-BILLED KITE CHIRP Short, high, glissando with vibrato. Distressed."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp, Distressed 02"	BOOM Library		"YELLOW-BILLED KITE CHIRP Short, high, glissando with vibrato. Distressed."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp, Irregular 01.wav"	"YELLOW-BILLED KITE CHIRP Normal, high, glissando with vibrato. Irregular pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp, Irregular 01"	BOOM Library		"YELLOW-BILLED KITE CHIRP Normal, high, glissando with vibrato. Irregular pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp, Short 01.wav"	"YELLOW-BILLED KITE CHIRP Normal, high, glissando with vibrato. Relaxed"	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp, Short 01"	BOOM Library		"YELLOW-BILLED KITE CHIRP Normal, high, glissando with vibrato. Relaxed"	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"KITE Yellow Billed, Chirp, Short 02.wav"	"YELLOW-BILLED KITE CHIRP Short, rapid, anxious chirps. Highly distressed."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"KITE Yellow Billed, Chirp, Short 02"	BOOM Library		"YELLOW-BILLED KITE CHIRP Short, rapid, anxious chirps. Highly distressed."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Barn, Shriek 01.wav"	"BARN OWL SHRIEK Normal, medium pitch, shriek."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Barn, Shriek 01"	BOOM Library		"BARN OWL SHRIEK Normal, medium pitch, shriek."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Barn, Shriek 02.wav"	"BARN OWL SHRIEK Long, high shriek."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Barn, Shriek 02"	BOOM Library		"BARN OWL SHRIEK Long, high shriek."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Barn, Shriek, High 01.wav"	"BARN OWL SHRIEK Long, high shriek. Glissando pitch rise. Anxious and distressed."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Barn, Shriek, High 01"	BOOM Library		"BARN OWL SHRIEK Long, high shriek. Glissando pitch rise. Anxious and distressed."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Barn, Shriek, Pair 01.wav"	BARN OWL SHRIEK Long call and response between a pair. Normal intensity.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Barn, Shriek, Pair 01"	BOOM Library		BARN OWL SHRIEK Long call and response between a pair. Normal intensity.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Barn, Shriek, Pair 02.wav"	BARN OWL SHRIEK Medium call and response between a pair. Anxious and distressed.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Barn, Shriek, Pair 02"	BOOM Library		BARN OWL SHRIEK Medium call and response between a pair. Anxious and distressed.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Barn, Young, Screech.wav"	"BARN OWL SCREECH Young Barn Owl, short screeching."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Barn, Young, Screech"	BOOM Library		"BARN OWL SCREECH Young Barn Owl, short screeching."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Snowy, Grumble.wav"	"SNOWY OWL GRUMBLE Low pitch, short grumbles."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Snowy, Grumble"	BOOM Library		"SNOWY OWL GRUMBLE Low pitch, short grumbles."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Spotted Eagle, Hoot 01.wav"	"SPOTTED EAGLE OWL HOOT Short, low rhythmic hoot."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Spotted Eagle, Hoot 01"	BOOM Library		"SPOTTED EAGLE OWL HOOT Short, low rhythmic hoot."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"OWL Spotted Eagle, Screech 01.wav"	"SPOTTED EAGLE OWL SCREECH Short, comic screech. Cat-like."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"OWL Spotted Eagle, Screech 01"	BOOM Library		"SPOTTED EAGLE OWL SCREECH Short, comic screech. Cat-like."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"PARROT African Grey, Call, Short 01.wav"	"AFRICAN GREY PARROT CALL Short, high, modulated call. Agitated."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"PARROT African Grey, Call, Short 01"	BOOM Library		"AFRICAN GREY PARROT CALL Short, high, modulated call. Agitated."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"PARROT African Grey, Growl, Long 01.wav"	"AFRICAN GREY PARROT CALL Long, high, anxious growl."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"PARROT African Grey, Growl, Long 01"	BOOM Library		"AFRICAN GREY PARROT CALL Long, high, anxious growl."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"PARROT African Grey, Growl, Low 01.wav"	"AFRICAN GREY PARROT GROWL Long, low growl. Slightly anxious."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"PARROT African Grey, Growl, Low 01"	BOOM Library		"AFRICAN GREY PARROT GROWL Long, low growl. Slightly anxious."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"PARROT African Grey, Growl, Medium 01.wav"	"AFRICAN GREY PARROT GROWL Medium, low growl. Slightly aggressive."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"PARROT African Grey, Growl, Medium 01"	BOOM Library		"AFRICAN GREY PARROT GROWL Medium, low growl. Slightly aggressive."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"PARROT African Grey, Growl, Short 01.wav"	"AFRICAN GREY PARROT GROWL Short, high growl. Aggressive."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"PARROT African Grey, Growl, Short 01"	BOOM Library		"AFRICAN GREY PARROT GROWL Short, high growl. Aggressive."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"PARROT African Grey, Growl, Weird 01.wav"	"AFRICAN GREY PARROT GROWL Strange, short, low, grumbling growl."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"PARROT African Grey, Growl, Weird 01"	BOOM Library		"AFRICAN GREY PARROT GROWL Strange, short, low, grumbling growl."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"PARROT African Grey, Growl, Weird 02.wav"	"AFRICAN GREY PARROT GROWL Strange, short, low, stuttering growl."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"PARROT African Grey, Growl, Weird 02"	BOOM Library		"AFRICAN GREY PARROT GROWL Strange, short, low, stuttering growl."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Chirp, Mid 01.wav"	"CAPE VULTURE CHIRP Short, high, jabbering chirps. Fighting over food."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Chirp, Mid 01"	BOOM Library		"CAPE VULTURE CHIRP Short, high, jabbering chirps. Fighting over food."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Chrip, Short, High 01.wav"	"CAPE VULTURE CHIRP Normal, high, jabbering chirps with slight hissing. Fighting over food."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Chrip, Short, High 01"	BOOM Library		"CAPE VULTURE CHIRP Normal, high, jabbering chirps with slight hissing. Fighting over food."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Growl 01.wav"	"CAPE VULTURE GROWL Long, low, aggressive growl."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Growl 01"	BOOM Library		"CAPE VULTURE GROWL Long, low, aggressive growl."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Growl 02.wav"	"CAPE VULTURE GROWL Long, very low, modulating aggressive growl."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Growl 02"	BOOM Library		"CAPE VULTURE GROWL Long, very low, modulating aggressive growl."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Growl 03.wav"	"CAPE VULTURE GROWL Long, high, modulating, very aggressive growl."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Growl 03"	BOOM Library		"CAPE VULTURE GROWL Long, high, modulating, very aggressive growl."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Honk 01.wav"	"CAPE VULTURE HONK Short, low, comic honk."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Honk 01"	BOOM Library		"CAPE VULTURE HONK Short, low, comic honk."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Jabber 01.wav"	"CAPE VULTURE JABBER Long, low growl, building into rhythmic jabber."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Jabber 01"	BOOM Library		"CAPE VULTURE JABBER Long, low growl, building into rhythmic jabber."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Jabber 02.wav"	"CAPE VULTURE JABBER Long, high growl, building into rhythmic jabber."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Jabber 02"	BOOM Library		"CAPE VULTURE JABBER Long, high growl, building into rhythmic jabber."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Moan, Low, Mating.wav"	"CAPE VULTURE MOAN Long, low mating growl. Mating pair. Small jabber at the end."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Moan, Low, Mating"	BOOM Library		"CAPE VULTURE MOAN Long, low mating growl. Mating pair. Small jabber at the end."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Screech 01.wav"	"CAPE VULTURE SCREECH Intense, long, high screech. Very aggressive."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Screech 01"	BOOM Library		"CAPE VULTURE SCREECH Intense, long, high screech. Very aggressive."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Screech 02.wav"	"CAPE VULTURE SCREECH Short, high screech. Very aggressive."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Screech 02"	BOOM Library		"CAPE VULTURE SCREECH Short, high screech. Very aggressive."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Screech 03.wav"	"CAPE VULTURE SCREECH Long, high, modulating, stuttering screech. Very aggressive."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Screech 03"	BOOM Library		"CAPE VULTURE SCREECH Long, high, modulating, stuttering screech. Very aggressive."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Screech 04.wav"	"CAPE VULTURE SCREECH Long, high, screech. Aggressive, building towards stuttering jabber."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Screech 04"	BOOM Library		"CAPE VULTURE SCREECH Long, high, screech. Aggressive, building towards stuttering jabber."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Screech 05.wav"	"CAPE VULTURE SCREECH Long, low, modulating, stuttering screech."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Screech 05"	BOOM Library		"CAPE VULTURE SCREECH Long, low, modulating, stuttering screech."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Cape, Squawk 01.wav"	"CAPE VULTURE SQUAWK Short, low squawk."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Cape, Squawk 01"	BOOM Library		"CAPE VULTURE SQUAWK Short, low squawk."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Monk, Young, Chirp 01.wav"	MONK VULTURE CHIRP Short chirps of young Monk Vulture.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Monk, Young, Chirp 01"	BOOM Library		MONK VULTURE CHIRP Short chirps of young Monk Vulture.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Monk, Young, Chirp 02.wav"	MONK VULTURE CHIRP Distressed chirps of young Monk Vulture.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Monk, Young, Chirp 02"	BOOM Library		MONK VULTURE CHIRP Distressed chirps of young Monk Vulture.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Monk, Young, Chirp 03.wav"	MONK VULTURE CHIRP Short and distressed chirps of young Monk Vulture.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Monk, Young, Chirp 03"	BOOM Library		MONK VULTURE CHIRP Short and distressed chirps of young Monk Vulture.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Palmnut, Call, Long 01.wav"	"PALMNUT VULTURE CALL Long, low, rhythmic call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Palmnut, Call, Long 01"	BOOM Library		"PALMNUT VULTURE CALL Long, low, rhythmic call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Palmnut, Call, Medium 01.wav"	"PALMNUT VULTURE CALL Medium, low, slow, rhythmic call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Palmnut, Call, Medium 01"	BOOM Library		"PALMNUT VULTURE CALL Medium, low, slow, rhythmic call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Palmnut, Call, Medium 02.wav"	"PALMNUT VULTURE CALL Medium, low, fast, rhythmic call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Palmnut, Call, Medium 02"	BOOM Library		"PALMNUT VULTURE CALL Medium, low, fast, rhythmic call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"VULTURE Palmnut, Call, Short 01.wav"	"PALMNUT VULTURE CALL Short, low, fast, rhythmic call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"VULTURE Palmnut, Call, Short 01"	BOOM Library		"PALMNUT VULTURE CALL Short, low, fast, rhythmic call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
