FileName	Description	Source	Category	SubCategory	Notes	Library	Keywords	Manufacturer	Designer	BWDescription	BWOriginator	BWOriginatorRef
"EAGLE Tawny, Chirp, Agitated, Distant 01.wav"	"TAWNY EAGLE chirps Short, repetitive, anxious call. In the distance."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Tawny, Chirp, Agitated, Distant 01"	BOOM Library		"TAWNY EAGLE chirps Short, repetitive, anxious call. In the distance."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Tawny, Croak.wav"	"TAWNY EAGLE Short, rough, croaking bellows. Close."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Tawny, Croak"	BOOM Library		"TAWNY EAGLE Short, rough, croaking bellows. Close."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE White Tailed, Chirp.wav"	"WHITE-TAILED EAGLE CHIRP High-pitched, short chirps. Rapid succession."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE White Tailed, Chirp"	BOOM Library		"WHITE-TAILED EAGLE CHIRP High-pitched, short chirps. Rapid succession."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Greater Kestrel, Screech 01.wav"	"GREATER KESTREL SCREECH Short, high-pitched, aggressive and distressed screech.  "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Greater Kestrel, Screech 01"	BOOM Library		"GREATER KESTREL SCREECH Short, high-pitched, aggressive and distressed screech.  "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Lanners, Chirp 01.wav"	"LANNER FALCON CHIRP Short, high, social chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Lanners, Chirp 01"	BOOM Library		"LANNER FALCON CHIRP Short, high, social chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Lanners, Chirp 02.wav"	"LANNER FALCON CHIRP Short, hard, high warning chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Lanners, Chirp 02"	BOOM Library		"LANNER FALCON CHIRP Short, hard, high warning chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Lanners, Chirp 03.wav"	"LANNER FALCON CHIRP Short, fast warning chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Lanners, Chirp 03"	BOOM Library		"LANNER FALCON CHIRP Short, fast warning chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Lanners, Chirp 04.wav"	"LANNER FALCON CHIRP Medium, high warning chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Lanners, Chirp 04"	BOOM Library		"LANNER FALCON CHIRP Medium, high warning chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Pygmy, Call 01.wav"	PYGMY FALCON CHIRP Repetitive melodic social call.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Pygmy, Call 01"	BOOM Library		PYGMY FALCON CHIRP Repetitive melodic social call.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Pygmy, Call, Flying 02.wav"	PYGMY FALCON CHIRP Repetitive melodic social call. In flight.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Pygmy, Call, Flying 02"	BOOM Library		PYGMY FALCON CHIRP Repetitive melodic social call. In flight.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
